代號,名稱,發行量(股),市值(億),平均日成交額(元),2020年淨利,2021年淨利,2022年淨利,2023年淨利,2020年現金股利,2021年現金股利,2022年現金股利,2023年現金股利,2020年股利發放率,2021年股利發放率,2022年股利發放率,股價,日期,預期現金股利,現金殖利率,股利發放率中位數
2449,京元電子,1223000,1173,1612448935.3436294,,,,,2200941,2445490,3668235.0,4279608.0,,,,119.0,2024-06-28,,,
4958,臻鼎-KY,947000,1146,551681207.2664093,8094547.0,9651297.0,14197040.0,6188729.0,4060034,4261721,4735246.0,5682295.0,0.5264928352383401,0.4906331242319037,0.4002450510810704,129.5,2024-06-28,3036395.444294585,0.024759312637710508,0.4906331242319037
2059,川湖,95300,1139,1578185783.3359072,1164589.0,2072520.0,4056145.0,2704319.0,762377,583218,1036832.0,1905941.0,0.5007929836191137,0.5002759925115319,0.4698897598581905,1240.0,2024-06-28,1352905.8717927933,0.011448616184822067,0.5002759925115319
3044,健鼎,525600,1117,1410343943.8841698,6125520.0,5858365.0,6200335.0,6061791.0,3810642,3863203,3679241.0,3915764.0,0.6306734775170107,0.6280320533118029,0.6315407151387787,218.5,2024-06-28,3823010.809951318,0.03328884508976833,0.6306734775170107
1229,聯華,1584000,1061,72137417.11969112,,,,,1758068,2166819,2527139.0,1916414.0,,,,68.3,2024-06-28,,,
8464,億豐,293000,1061,176462108.8108108,,,,,2930202,2930202,3223222.0,3223222.0,,,,390.0,2024-06-28,,,
2344,華邦電,4180000,1030,886067714.2509652,,,,,398000,796000,3980000.0,3980000.0,,,,25.7,2024-06-28,,,
8454,富邦媒,240300,1021,377434627.6061776,1943304.0,3280300.0,3434626.0,3628069.0,1190497,1400585,2366989.0,3278331.0,0.720723571813777,0.7215769899094595,0.9544943175763532,429.5,2024-06-28,2617931.1082038227,0.025365374269782318,0.7215769899094595
6176,瑞儀,465000,1018,546326945.8764479,5227665.0,5189975.0,6726974.0,5275963.0,3720218,3720218,3720218.0,4650273.0,0.711640474284408,0.716808462468509,0.6912874941987289,189.5,2024-06-28,3754588.811626988,0.04260888939912035,0.711640474284408
2542,興富發,1884000,972,217473824.16216213,2645801.0,8186868.0,3740998.0,2437372.0,2795749,2584670,6703621.0,1057848.0,0.9768950877257964,0.8188260761013858,0.2827716026579003,52.1,2024-06-28,1995783.750759387,0.020332690998848643,0.8188260761013858
2354,鴻準,1414000,972,823254558.8996139,4718343.0,4488906.0,4266446.0,4260720.0,3536213,2546073,2404625.0,2263176.0,0.5396116814737716,0.5356817451735456,0.5304593096924232,71.3,2024-06-28,2282389.9252958293,0.022638669657818026,0.5356817451735456
2812,台中銀,5226000,964,91332313.11196911,,,,,1038474,1134630,1504634.0,,,,,18.3,2024-06-28,,,
1513,中興電,503100,961,3874005093.841698,1527368.0,1957171.0,2434238.0,1585695.0,504000,1047495,1333176.0,1667144.0,0.6858170395084878,0.6811750225197492,0.6848730485679707,188.0,2024-06-28,1085999.7687489884,0.01148200062536728,0.6848730485679707
1477,聚陽,241900,928,841225787.8030888,,,,,1099283,1934853,2297638.0,3506920.0,,,,421.0,2024-06-28,,,
9958,世紀鋼,256900,912,1502525395.1505792,766996.0,1259841.0,369465.0,1046617.0,210557,689969,694645.0,116626.0,0.8995731398859969,0.5513751338462552,0.315661835356529,302.0,2024-06-28,577078.5884607661,0.007438132554228667,0.5513751338462552
2027,大成鋼,2434000,896,314581384.73745173,573421.0,9672917.0,12025615.0,5330802.0,2090438,2140137,3184023.0,4287813.0,3.732226409566444,0.3291688536146852,0.3565566501172705,35.9,2024-06-28,1900732.9035584459,0.021752344382602613,0.3565566501172705
9941,裕融,548200,855,182172099.1467181,3139301.0,5153626.0,5803991.0,6274510.0,1626524,1860808,2301806.0,2990964.0,0.5927459647864286,0.4466381534088814,0.5153288487180632,149.5,2024-06-28,3233436.0145699745,0.03945336473115388,0.5153288487180632
3035,智原,260600,825,5468171993.644788,268446.0,1155930.0,2454597.0,1589472.0,273405,248550,820216.0,1242752.0,0.9258845354372948,0.7095723789502825,0.5062957381598691,336.0,2024-06-28,1127845.4283148635,0.012880594099638008,0.7095723789502825
2540,愛山林,416599,817,130925370.56370656,906148.0,1132065.0,444615.0,1507668.0,564410,435118,,,0.4801842524620702,,,187.0,2024-06-28,723958.4315409844,0.009292954286462552,0.4801842524620702
6472,保瑞,101600,792,1611004321.3032787,578426.0,749736.0,1391916.0,3030142.0,83254,109766,238802.0,619134.0,0.189766711731492,0.3185147838705891,0.4448070142163751,829.0,2024-06-28,965145.0242271947,0.01145893715304459,0.3185147838705891
6121,新普,185000,774,482357720.9302326,5050175.0,6382227.0,7237486.0,5673062.0,2682073,3532937,4809233.0,5105186.0,0.6995672427193117,0.7535352471793937,0.7053811226716017,427.5,2024-06-28,4001670.842545602,0.05059801918818527,0.7053811226716017
2915,潤泰全,1104000,754,209497946.7876448,7908311.0,15567663.0,12168391.0,7499620.0,2746894,1098758,3570962.0,2168385.0,0.1389371257655395,0.2293833056381038,0.1781981693389043,68.2,2024-06-28,1336418.5547374336,0.017749619548448635,0.1781981693389043
6285,啟碁,485300,750,1418673092.328185,1466920.0,1232154.0,3121720.0,3802830.0,975581,993836,832551.0,2024042.0,0.6774984320890028,0.6756874546525841,0.6483739733223992,161.0,2024-06-28,2569524.523176486,0.032886420043393615,0.6756874546525841
2352,佳世達,1967000,744,627128957.6911197,4988479.0,8307546.0,8251930.0,2975733.0,1475086,2950173,4916955.0,3933564.0,0.5913972976532527,0.591866117864409,0.4766841211692295,38.4,2024-06-28,1759840.4547376065,0.023299023136142266,0.5913972976532527
2049,上銀,353800,736,426268996.6756757,1929730.0,3532230.0,4479381.0,2034748.0,557242,661733,1533565.0,1945857.0,0.342914811916693,0.4341634038553548,0.4344031016785578,213.0,2024-06-28,883413.1176678755,0.011722666550793603,0.4341634038553548
